id,timestamp,mac,rssi,mac_pai
10317,2025-10-13 20:44:07,40:4c:ca:5e:00:a0,-76,40:4c:ca:5e:09:2d
10318,2025-10-13 20:49:01,40:4c:ca:5e:09:2c,-62,null
10319,2025-10-13 20:49:07,40:4c:ca:5e:00:a0,-76,40:4c:ca:5e:09:2d
10320,2025-10-13 20:54:01,40:4c:ca:5e:09:2c,-61,null
10321,2025-10-13 20:54:07,40:4c:ca:5e:00:a0,-76,40:4c:ca:5e:09:2d
10322,2025-10-13 20:59:01,40:4c:ca:5e:09:2c,-62,null
10323,2025-10-13 20:59:07,40:4c:ca:5e:00:a0,-76,40:4c:ca:5e:09:2d
10324,2025-10-13 21:04:01,40:4c:ca:5e:09:2c,-61,null
10325,2025-10-13 21:04:07,40:4c:ca:5e:00:a0,-76,40:4c:ca:5e:09:2d
10326,2025-10-13 21:09:01,40:4c:ca:5e:09:2c,-60,null
10327,2025-10-13 21:09:07,40:4c:ca:5e:00:a0,-76,40:4c:ca:5e:09:2d
10328,2025-10-13 21:14:01,40:4c:ca:5e:09:2c,-62,null
10329,2025-10-13 21:14:07,40:4c:ca:5e:00:a0,-76,40:4c:ca:5e:09:2d
10330,2025-10-13 21:19:21,40:4c:ca:5e:09:2c,-62,null
10331,2025-10-13 21:19:21,40:4c:ca:5e:00:a0,-76,40:4c:ca:5e:09:2d
10332,2025-10-13 21:24:05,40:4c:ca:5e:09:2c,-61,null
10333,2025-10-13 21:24:08,40:4c:ca:5e:00:a0,-76,40:4c:ca:5e:09:2d
10334,2025-10-13 21:29:05,40:4c:ca:5e:09:2c,-62,null
10335,2025-10-13 21:29:08,40:4c:ca:5e:00:a0,-76,40:4c:ca:5e:09:2d
10336,2025-10-13 21:34:05,40:4c:ca:5e:09:2c,-62,null
10337,2025-10-13 21:34:10,40:4c:ca:5e:00:a0,-76,40:4c:ca:5e:09:2d
10338,2025-10-13 21:34:11,40:4c:ca:5e:00:a0,-76,40:4c:ca:5e:09:2d
10339,2025-10-13 21:39:05,40:4c:ca:5e:09:2c,-61,null
10340,2025-10-13 21:39:08,40:4c:ca:5e:00:a0,-76,40:4c:ca:5e:09:2d
10341,2025-10-13 21:44:05,40:4c:ca:5e:09:2c,-62,null
10342,2025-10-13 21:44:08,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10343,2025-10-13 21:49:05,40:4c:ca:5e:09:2c,-61,null
10344,2025-10-13 21:49:08,40:4c:ca:5e:00:a0,-76,40:4c:ca:5e:09:2d
10345,2025-10-13 21:54:05,40:4c:ca:5e:09:2c,-61,null
10346,2025-10-13 21:54:09,40:4c:ca:5e:00:a0,-76,40:4c:ca:5e:09:2d
10347,2025-10-13 21:59:05,40:4c:ca:5e:09:2c,-61,null
10348,2025-10-13 21:59:09,40:4c:ca:5e:00:a0,-76,40:4c:ca:5e:09:2d
10349,2025-10-13 22:04:05,40:4c:ca:5e:09:2c,-62,null
10350,2025-10-13 22:04:09,40:4c:ca:5e:00:a0,-76,40:4c:ca:5e:09:2d
10351,2025-10-13 22:09:05,40:4c:ca:5e:09:2c,-61,null
10352,2025-10-13 22:09:09,40:4c:ca:5e:00:a0,-76,40:4c:ca:5e:09:2d
10353,2025-10-13 22:14:05,40:4c:ca:5e:09:2c,-62,null
10354,2025-10-13 22:14:09,40:4c:ca:5e:00:a0,-76,40:4c:ca:5e:09:2d
10355,2025-10-13 22:19:05,40:4c:ca:5e:09:2c,-62,null
