id,timestamp,sucesso,perda,layer,nos,trocas_pai,ult_troca
1,2025-08-01 22:03:46,0.0,0.0,1,0,1,0
2,2025-08-01 22:04:46,100.0,0.0,1,3,1,0
3,2025-08-01 22:05:46,100.0,0.0,4,3,1,0
4,2025-08-01 22:06:46,100.0,0.0,4,3,1,0
5,2025-08-01 22:07:46,100.0,0.0,4,3,1,0
6,2025-08-01 22:08:46,100.0,0.0,4,3,1,0
7,2025-08-01 22:09:46,100.0,0.0,4,3,1,0
8,2025-08-01 22:10:46,100.0,0.0,4,6,1,0
9,2025-08-01 22:11:46,100.0,0.0,4,6,1,0
10,2025-08-01 22:12:46,100.0,0.0,4,6,1,0
11,2025-08-01 22:13:02,0.0,0.0,1,0,1,0
12,2025-08-01 22:13:46,100.0,0.0,4,6,1,0
13,2025-08-01 22:14:02,0.0,0.0,1,0,1,0
14,2025-08-01 22:14:46,100.0,0.0,4,6,1,0
15,2025-08-01 22:15:02,0.0,0.0,1,0,1,0
16,2025-08-01 22:15:46,100.0,0.0,4,6,1,0
17,2025-08-01 22:16:02,0.0,0.0,1,0,1,0
18,2025-08-01 22:16:46,100.0,0.0,4,6,1,0
19,2025-08-01 22:17:02,0.0,0.0,1,0,1,0
20,2025-08-01 22:17:46,100.0,0.0,4,6,1,0
21,2025-08-01 22:18:02,0.0,0.0,1,0,1,0
22,2025-08-01 22:18:46,100.0,0.0,4,6,1,0
23,2025-08-01 22:19:02,0.0,0.0,1,0,1,0
24,2025-08-01 22:19:46,100.0,0.0,4,6,1,0
25,2025-08-01 22:20:02,0.0,0.0,1,0,1,0
26,2025-08-01 22:20:46,100.0,0.0,4,6,1,0
27,2025-08-01 22:21:02,0.0,0.0,1,0,1,0
28,2025-08-01 22:21:46,100.0,0.0,4,6,1,0
29,2025-08-01 22:22:02,0.0,0.0,1,0,1,0
30,2025-08-01 22:22:46,100.0,0.0,4,6,1,0
31,2025-08-01 22:23:02,0.0,0.0,1,0,1,0
32,2025-08-01 22:23:46,100.0,0.0,4,6,1,0
33,2025-08-01 22:24:02,0.0,0.0,1,0,1,0
34,2025-08-01 22:24:46,100.0,0.0,4,6,1,0
35,2025-08-01 22:25:02,0.0,0.0,1,0,1,0
36,2025-08-01 22:25:46,100.0,0.0,4,4,1,0
37,2025-08-01 22:26:10,100.0,0.0,1,2,1,0
38,2025-08-01 22:27:10,100.0,0.0,3,2,1,0
39,2025-08-01 22:28:10,100.0,0.0,4,2,1,0
40,2025-08-01 22:29:10,100.0,0.0,4,2,1,0
41,2025-08-01 22:30:10,100.0,0.0,4,2,1,0
42,2025-08-01 22:31:10,100.0,0.0,4,2,1,0
43,2025-08-01 22:32:10,100.0,0.0,4,2,1,0
44,2025-08-01 22:33:10,100.0,0.0,4,2,1,0
45,2025-08-01 22:34:10,100.0,0.0,4,2,1,0
46,2025-08-01 22:35:10,100.0,0.0,4,2,1,0
47,2025-08-01 22:36:10,100.0,0.0,4,2,1,0
48,2025-08-01 22:37:10,100.0,0.0,4,2,1,0
49,2025-08-01 22:38:11,100.0,0.0,4,2,1,0
50,2025-08-01 22:39:11,100.0,0.0,4,2,1,0
51,2025-08-01 22:40:11,100.0,0.0,4,2,1,0
52,2025-08-01 22:41:11,100.0,0.0,4,2,1,0
53,2025-08-01 22:42:11,100.0,0.0,4,2,1,0
54,2025-08-01 22:43:11,100.0,0.0,4,2,1,0
55,2025-08-01 22:44:11,100.0,0.0,4,2,1,0
56,2025-08-01 22:45:11,100.0,0.0,4,2,1,0
57,2025-08-01 22:46:11,100.0,0.0,4,2,1,0
58,2025-08-01 22:47:11,100.0,0.0,4,2,1,0
59,2025-08-01 22:48:11,100.0,0.0,4,2,1,0
60,2025-08-01 22:49:11,100.0,0.0,4,2,1,0
61,2025-08-01 22:50:11,100.0,0.0,4,2,1,0
62,2025-08-01 22:51:11,100.0,0.0,4,2,1,0
63,2025-08-01 22:52:11,100.0,0.0,4,2,1,0
64,2025-08-01 22:53:11,100.0,0.0,4,2,1,0
65,2025-08-01 22:54:11,100.0,0.0,4,2,1,0
66,2025-08-01 22:55:11,100.0,0.0,4,2,1,0
67,2025-08-01 22:56:11,100.0,0.0,4,2,1,0
68,2025-08-01 22:57:11,100.0,0.0,4,2,1,0
69,2025-08-01 22:58:11,100.0,0.0,4,2,1,0
70,2025-08-01 22:59:11,100.0,0.0,4,2,1,0
