id,timestamp,sucesso,perda,layer,nos,rtt,trocas_pai,ult_troca,retransmissoes
5041,2025-10-26 00:02:44,100.0,0.0,3,3,0,1,0,0
5042,2025-10-26 00:07:44,100.0,0.0,3,3,0,1,0,0
5043,2025-10-26 00:12:44,100.0,0.0,3,3,0,1,0,0
5044,2025-10-26 00:17:44,100.0,0.0,3,3,0,1,0,0
5045,2025-10-26 00:22:45,100.0,0.0,3,3,0,1,0,0
5046,2025-10-26 00:27:46,100.0,0.0,3,3,0,1,0,0
5047,2025-10-26 00:32:46,100.0,0.0,3,3,0,1,0,0
5048,2025-10-26 00:37:46,100.0,0.0,3,3,0,1,0,0
5049,2025-10-26 00:42:46,100.0,0.0,3,3,0,1,0,0
5050,2025-10-26 00:47:46,100.0,0.0,3,3,0,1,0,0
5051,2025-10-26 00:52:46,100.0,0.0,3,3,0,1,0,0
5052,2025-10-26 00:57:46,100.0,0.0,3,3,0,1,0,0
5053,2025-10-26 01:02:46,100.0,0.0,3,3,0,1,0,0
5054,2025-10-26 01:07:46,100.0,0.0,3,3,0,1,0,0
5055,2025-10-26 01:12:46,100.0,0.0,3,3,0,1,0,0
5056,2025-10-26 01:17:46,100.0,0.0,3,3,0,1,0,0
5057,2025-10-26 01:22:46,100.0,0.0,3,3,0,1,0,0
5058,2025-10-26 01:27:46,100.0,0.0,3,3,0,1,0,0
5059,2025-10-26 01:32:46,100.0,0.0,3,3,0,1,0,0
5060,2025-10-26 01:37:46,100.0,0.0,3,3,0,1,0,0
5061,2025-10-26 01:42:46,100.0,0.0,3,3,0,1,0,0
5062,2025-10-26 01:47:46,100.0,0.0,3,3,0,1,0,0
5063,2025-10-26 01:52:46,100.0,0.0,3,3,0,1,0,0
5064,2025-10-26 01:57:46,100.0,0.0,3,3,0,1,0,0
5065,2025-10-26 02:02:46,100.0,0.0,3,3,0,1,0,0
5066,2025-10-26 02:07:46,100.0,0.0,3,3,0,1,0,0
5067,2025-10-26 02:12:46,100.0,0.0,3,3,0,1,0,0
5068,2025-10-26 02:17:46,100.0,0.0,3,3,0,1,0,0
5069,2025-10-26 02:22:46,100.0,0.0,3,3,0,1,0,0
5070,2025-10-26 02:27:46,100.0,0.0,3,3,0,1,0,0
5071,2025-10-26 02:32:46,100.0,0.0,3,3,0,1,0,0
5072,2025-10-26 02:37:46,100.0,0.0,3,3,0,1,0,0
