id,timestamp,sucesso,perda,layer,nos,rtt,trocas_pai,ult_troca,retransmissoes
3439,2025-10-14 20:10:22,100.0,0.0,2,2,0,1,0,0
3440,2025-10-14 20:15:22,100.0,0.0,2,2,0,1,0,0
3441,2025-10-14 20:20:22,100.0,0.0,2,2,0,1,0,0
3442,2025-10-14 20:25:22,100.0,0.0,2,2,0,1,0,0
3443,2025-10-14 20:30:22,100.0,0.0,2,2,0,1,0,0
3444,2025-10-14 20:35:22,100.0,0.0,2,2,0,1,0,0
3445,2025-10-14 20:40:22,100.0,0.0,2,2,0,1,0,0
3446,2025-10-14 20:45:22,100.0,0.0,2,2,0,1,0,0
3447,2025-10-14 20:50:22,100.0,0.0,2,2,0,1,0,0
3448,2025-10-14 20:55:22,100.0,0.0,2,2,0,1,0,0
3449,2025-10-14 21:00:22,100.0,0.0,2,2,0,1,0,0
3450,2025-10-14 21:05:22,100.0,0.0,2,2,0,1,0,0
3451,2025-10-14 21:10:22,100.0,0.0,2,2,0,1,0,0
3452,2025-10-14 21:15:22,100.0,0.0,2,2,0,1,0,0
3453,2025-10-14 21:20:22,100.0,0.0,2,2,0,1,0,0
3454,2025-10-14 21:25:22,100.0,0.0,2,2,0,1,0,0
3455,2025-10-14 21:30:22,100.0,0.0,2,2,0,1,0,0
3456,2025-10-14 21:35:22,100.0,0.0,2,2,0,1,0,0
3457,2025-10-14 21:40:22,100.0,0.0,2,2,0,1,0,0
3458,2025-10-14 21:45:22,100.0,0.0,2,2,0,1,0,0
3459,2025-10-14 21:50:22,100.0,0.0,2,2,0,1,0,0
3460,2025-10-14 21:55:22,100.0,0.0,2,2,0,1,0,0
3461,2025-10-14 22:00:22,100.0,0.0,2,2,0,1,0,0
3462,2025-10-14 22:05:22,100.0,0.0,2,2,0,1,0,0
3463,2025-10-14 22:10:22,100.0,0.0,2,2,0,1,0,0
3464,2025-10-14 22:15:22,100.0,0.0,2,2,0,1,0,0
3465,2025-10-14 22:20:22,100.0,0.0,2,2,0,1,0,0
3466,2025-10-14 22:25:22,100.0,0.0,2,2,0,1,0,0
3467,2025-10-14 22:30:22,100.0,0.0,2,2,0,1,0,0
3468,2025-10-14 22:35:22,100.0,0.0,2,2,0,1,0,0
3469,2025-10-14 22:40:22,100.0,0.0,2,2,0,1,0,0
3470,2025-10-14 22:45:22,100.0,0.0,2,2,0,1,0,0
3471,2025-10-14 22:50:22,100.0,0.0,2,2,0,1,0,0
3472,2025-10-14 22:55:22,100.0,0.0,2,2,0,1,0,0
3473,2025-10-14 23:00:22,100.0,0.0,2,2,0,1,0,0
3474,2025-10-14 23:05:22,100.0,0.0,2,2,0,1,0,0
3475,2025-10-14 23:10:22,100.0,0.0,2,2,0,1,0,0
