id,timestamp,mac,rssi,mac_pai
10566,2025-10-14 19:57:10,40:4c:ca:5d:e6:e8,-58,null
10567,2025-10-14 20:02:59,40:4c:ca:5e:00:a0,-70,null
10568,2025-10-14 20:03:51,40:4c:ca:5e:00:a0,-68,null
10569,2025-10-14 20:05:22,40:4c:ca:5e:00:a0,-61,null
10570,2025-10-14 20:05:43,40:4c:ca:5d:e6:e8,-72,40:4c:ca:5e:00:a1
10571,2025-10-14 20:10:22,40:4c:ca:5e:00:a0,-60,null
10572,2025-10-14 20:10:43,40:4c:ca:5d:e6:e8,-72,40:4c:ca:5e:00:a1
10573,2025-10-14 20:15:22,40:4c:ca:5e:00:a0,-58,null
10574,2025-10-14 20:15:43,40:4c:ca:5d:e6:e8,-72,40:4c:ca:5e:00:a1
10575,2025-10-14 20:20:22,40:4c:ca:5e:00:a0,-59,null
10576,2025-10-14 20:20:43,40:4c:ca:5d:e6:e8,-73,40:4c:ca:5e:00:a1
10577,2025-10-14 20:25:22,40:4c:ca:5e:00:a0,-57,null
10578,2025-10-14 20:25:43,40:4c:ca:5d:e6:e8,-72,40:4c:ca:5e:00:a1
10579,2025-10-14 20:30:22,40:4c:ca:5e:00:a0,-56,null
10580,2025-10-14 20:30:43,40:4c:ca:5d:e6:e8,-72,40:4c:ca:5e:00:a1
10581,2025-10-14 20:35:22,40:4c:ca:5e:00:a0,-57,null
10582,2025-10-14 20:35:43,40:4c:ca:5d:e6:e8,-72,40:4c:ca:5e:00:a1
10583,2025-10-14 20:40:22,40:4c:ca:5e:00:a0,-57,null
10584,2025-10-14 20:40:43,40:4c:ca:5d:e6:e8,-72,40:4c:ca:5e:00:a1
10585,2025-10-14 20:45:22,40:4c:ca:5e:00:a0,-57,null
10586,2025-10-14 20:45:43,40:4c:ca:5d:e6:e8,-72,40:4c:ca:5e:00:a1
10587,2025-10-14 20:50:22,40:4c:ca:5e:00:a0,-57,null
10588,2025-10-14 20:50:43,40:4c:ca:5d:e6:e8,-72,40:4c:ca:5e:00:a1
10589,2025-10-14 20:55:22,40:4c:ca:5e:00:a0,-57,null
10590,2025-10-14 20:55:43,40:4c:ca:5d:e6:e8,-72,40:4c:ca:5e:00:a1
10591,2025-10-14 21:00:22,40:4c:ca:5e:00:a0,-57,null
