id,timestamp,sucesso,perda,layer,nos,trocas_pai,ult_troca
7534,2025-12-04 07:30:17,0.0,0.0,1,0,1,0
7535,2025-12-04 07:35:17,100.0,0.0,3,4,1,0
7536,2025-12-04 07:40:17,100.0,0.0,4,4,1,0
7537,2025-12-04 07:45:17,100.0,0.0,4,4,1,0
7538,2025-12-04 07:50:17,100.0,0.0,4,6,1,0
7539,2025-12-04 07:55:17,100.0,0.0,4,6,1,0
7540,2025-12-04 08:00:17,100.0,0.0,4,6,1,0
7541,2025-12-04 08:05:17,100.0,0.0,4,7,1,0
7542,2025-12-04 08:10:17,100.0,0.0,4,7,1,0
7543,2025-12-04 08:15:17,100.0,0.0,4,7,1,0
7544,2025-12-04 08:20:17,100.0,0.0,4,7,1,0
7545,2025-12-04 08:25:17,100.0,0.0,4,7,1,0
7546,2025-12-04 08:30:17,100.0,0.0,4,7,1,0
7547,2025-12-04 08:35:17,100.0,0.0,4,7,1,0
7548,2025-12-04 08:40:17,100.0,0.0,4,7,1,0
7549,2025-12-04 08:45:17,100.0,0.0,4,7,1,0
7550,2025-12-04 08:50:17,100.0,0.0,4,7,1,0
7551,2025-12-04 08:55:17,100.0,0.0,4,7,1,0
7552,2025-12-04 09:00:17,100.0,0.0,4,7,1,0
7553,2025-12-04 09:05:17,100.0,0.0,4,7,1,0
7554,2025-12-04 09:10:18,100.0,0.0,4,7,1,0
7555,2025-12-04 09:15:18,100.0,0.0,4,7,1,0
7556,2025-12-04 09:20:18,100.0,0.0,4,7,1,0
7557,2025-12-04 09:25:18,100.0,0.0,4,7,1,0
7558,2025-12-04 09:30:18,100.0,0.0,4,7,1,0
7559,2025-12-04 09:35:18,100.0,0.0,4,7,1,0
7560,2025-12-04 09:40:18,100.0,0.0,4,7,1,0
7561,2025-12-04 09:45:18,100.0,0.0,4,7,1,0
7562,2025-12-04 09:50:18,100.0,0.0,4,7,1,0
7563,2025-12-04 09:55:18,100.0,0.0,4,7,1,0
7564,2025-12-04 10:00:18,100.0,0.0,4,7,1,0
7565,2025-12-04 10:05:18,100.0,0.0,4,7,1,0
7566,2025-12-04 10:10:18,100.0,0.0,4,7,1,0
7567,2025-12-04 10:15:18,100.0,0.0,4,7,1,0
7568,2025-12-04 10:20:18,100.0,0.0,4,7,1,0
7569,2025-12-04 10:25:18,100.0,0.0,4,7,1,0
7570,2025-12-04 10:30:18,100.0,0.0,4,7,1,0
7571,2025-12-04 10:35:18,100.0,0.0,4,7,1,0
7572,2025-12-04 10:40:18,100.0,0.0,4,7,1,0
7573,2025-12-04 10:45:18,100.0,0.0,4,7,1,0
7574,2025-12-04 10:50:18,100.0,0.0,4,7,1,0
7575,2025-12-04 10:55:18,100.0,0.0,4,7,1,0
7576,2025-12-04 11:00:18,100.0,0.0,4,7,1,0
7577,2025-12-04 11:05:18,100.0,0.0,4,7,1,0
7578,2025-12-04 11:10:18,100.0,0.0,4,7,1,0
7579,2025-12-04 11:15:18,100.0,0.0,4,7,1,0
7580,2025-12-04 11:20:18,100.0,0.0,4,7,1,0
7581,2025-12-04 11:25:18,100.0,0.0,4,7,1,0
7582,2025-12-04 11:30:19,100.0,0.0,4,7,1,0
7583,2025-12-04 11:35:19,100.0,0.0,4,7,1,0
7584,2025-12-04 11:40:19,100.0,0.0,4,7,1,0
7585,2025-12-04 11:45:19,100.0,0.0,4,7,1,0
7586,2025-12-04 11:50:19,100.0,0.0,4,7,1,0
7587,2025-12-04 11:55:19,100.0,0.0,4,7,1,0
7588,2025-12-04 12:00:20,100.0,0.0,4,7,1,0
7589,2025-12-04 12:05:19,100.0,0.0,4,6,1,0
7590,2025-12-04 12:05:40,0.0,0.0,1,0,3,0
7591,2025-12-04 12:10:19,100.0,0.0,4,6,1,0
7592,2025-12-04 12:10:40,0.0,0.0,1,0,3,0
7593,2025-12-04 12:15:19,100.0,0.0,4,6,1,0
7594,2025-12-04 12:15:40,0.0,0.0,1,0,3,0
7595,2025-12-04 12:20:19,100.0,0.0,4,6,1,0
7596,2025-12-04 12:20:40,0.0,0.0,1,0,3,0
7597,2025-12-04 12:25:19,100.0,0.0,4,6,1,0
7598,2025-12-04 12:25:40,0.0,0.0,1,0,3,0
