id,timestamp,mac,rssi,mac_pai,snr
26456,2025-12-10 09:23:54,40:4c:ca:5d:e6:e8,-70,40:4c:ca:5e:0f:35,
26457,2025-12-10 09:23:55,40:4c:ca:5d:e6:e8,-70,40:4c:ca:5e:0f:35,
26458,2025-12-10 09:23:55,40:4c:ca:5d:e6:e8,-70,40:4c:ca:5e:0f:35,
26459,2025-12-10 09:23:57,40:4c:ca:5d:e6:e8,-70,40:4c:ca:5e:0f:35,
26460,2025-12-10 09:24:16,40:4c:ca:5e:0f:34,-77,40:4c:ca:5d:f3:b9,
26461,2025-12-10 09:24:29,40:4c:ca:5e:02:44,-83,40:4c:ca:5e:0f:35,
26462,2025-12-10 09:24:29,40:4c:ca:5e:02:44,-83,40:4c:ca:5e:0f:35,
26463,2025-12-10 09:27:00,40:4c:ca:5d:f3:b8,-60,null,
26464,2025-12-10 09:27:38,e0:5a:1b:75:02:68,-64,40:4c:ca:5d:f3:b9,
26465,2025-12-10 09:27:38,e0:5a:1b:75:02:68,-64,40:4c:ca:5d:f3:b9,
26466,2025-12-10 09:27:38,e0:5a:1b:75:02:68,-64,40:4c:ca:5d:f3:b9,
26467,2025-12-10 09:27:38,e0:5a:1b:75:02:68,-64,40:4c:ca:5d:f3:b9,
26468,2025-12-10 09:27:38,40:4c:ca:5e:09:2c,-45,e0:5a:1b:75:02:69,
26469,2025-12-10 09:27:38,e0:5a:1b:75:02:68,-64,40:4c:ca:5d:f3:b9,
26470,2025-12-10 09:28:40,40:4c:ca:5e:00:a0,-65,e0:5a:1b:75:02:69,
26471,2025-12-10 09:28:40,40:4c:ca:5e:00:a0,-65,e0:5a:1b:75:02:69,
26472,2025-12-10 09:28:40,40:4c:ca:5e:00:a0,-65,e0:5a:1b:75:02:69,
26473,2025-12-10 09:28:40,40:4c:ca:5e:00:a0,-65,e0:5a:1b:75:02:69,
26474,2025-12-10 09:28:53,40:4c:ca:5d:e6:e8,-70,40:4c:ca:5e:0f:35,
26475,2025-12-10 09:28:53,40:4c:ca:5d:e6:e8,-70,40:4c:ca:5e:0f:35,
26476,2025-12-10 09:28:53,40:4c:ca:5d:e6:e8,-70,40:4c:ca:5e:0f:35,
26477,2025-12-10 09:29:15,40:4c:ca:5e:0f:34,-77,40:4c:ca:5d:f3:b9,
26478,2025-12-10 09:29:30,40:4c:ca:5e:02:44,-83,40:4c:ca:5e:0f:35,
26479,2025-12-10 09:29:30,40:4c:ca:5e:02:44,-83,40:4c:ca:5e:0f:35,
26480,2025-12-10 09:29:30,40:4c:ca:5e:02:44,-83,40:4c:ca:5e:0f:35,
26481,2025-12-10 09:29:30,40:4c:ca:5e:02:44,-83,40:4c:ca:5e:0f:35,
26482,2025-12-10 09:31:57,40:4c:ca:5d:f3:b8,-60,null,
26483,2025-12-10 09:32:36,e0:5a:1b:75:02:68,-65,40:4c:ca:5d:f3:b9,
26484,2025-12-10 09:32:36,40:4c:ca:5e:09:2c,-45,e0:5a:1b:75:02:69,
26485,2025-12-10 09:32:36,e0:5a:1b:75:02:68,-65,40:4c:ca:5d:f3:b9,
26486,2025-12-10 09:32:36,e0:5a:1b:75:02:68,-65,40:4c:ca:5d:f3:b9,
26487,2025-12-10 09:33:39,40:4c:ca:5e:00:a0,-65,e0:5a:1b:75:02:69,
26488,2025-12-10 09:33:39,40:4c:ca:5e:00:a0,-65,e0:5a:1b:75:02:69,
26489,2025-12-10 09:33:39,40:4c:ca:5e:00:a0,-65,e0:5a:1b:75:02:69,
26490,2025-12-10 09:33:52,40:4c:ca:5d:e6:e8,-70,40:4c:ca:5e:0f:35,
26491,2025-12-10 09:33:52,40:4c:ca:5d:e6:e8,-70,40:4c:ca:5e:0f:35,
26492,2025-12-10 09:33:54,40:4c:ca:5d:e6:e8,-70,40:4c:ca:5e:0f:35,
26493,2025-12-10 09:34:14,40:4c:ca:5e:0f:34,-75,e0:5a:1b:75:02:69,
26494,2025-12-10 09:36:58,40:4c:ca:5d:f3:b8,-58,null,
26495,2025-12-10 09:37:37,e0:5a:1b:75:02:68,-70,40:4c:ca:5d:f3:b9,
26496,2025-12-10 09:37:37,40:4c:ca:5e:09:2c,-44,e0:5a:1b:75:02:69,
26497,2025-12-10 09:37:37,e0:5a:1b:75:02:68,-70,40:4c:ca:5d:f3:b9,
26498,2025-12-10 09:37:37,e0:5a:1b:75:02:68,-70,40:4c:ca:5d:f3:b9,
26499,2025-12-10 09:37:40,e0:5a:1b:75:02:68,-70,40:4c:ca:5d:f3:b9,
26500,2025-12-10 09:38:29,e0:5a:1b:75:02:68,-65,40:4c:ca:5d:f3:b9,
26501,2025-12-10 09:38:29,e0:5a:1b:75:02:68,-65,40:4c:ca:5d:f3:b9,
26502,2025-12-10 09:38:29,e0:5a:1b:75:02:68,-65,40:4c:ca:5d:f3:b9,
26503,2025-12-10 09:39:53,40:4c:ca:5d:e6:e8,-84,40:4c:ca:5d:f3:b9,
26504,2025-12-10 09:39:53,40:4c:ca:5d:e6:e8,-84,40:4c:ca:5d:f3:b9,
26505,2025-12-10 09:41:56,40:4c:ca:5d:f3:b8,-58,null,
26506,2025-12-10 09:42:36,40:4c:ca:5e:09:2c,-93,40:4c:ca:5d:f3:b9,
26507,2025-12-10 09:42:36,40:4c:ca:5e:09:2c,-93,40:4c:ca:5d:f3:b9,
26508,2025-12-10 09:43:28,e0:5a:1b:75:02:68,-68,40:4c:ca:5d:f3:b9,
26509,2025-12-10 09:43:28,e0:5a:1b:75:02:68,-68,40:4c:ca:5d:f3:b9,
26510,2025-12-10 09:44:52,40:4c:ca:5d:e6:e8,-83,40:4c:ca:5d:f3:b9,
26511,2025-12-10 09:44:53,40:4c:ca:5d:e6:e8,-83,40:4c:ca:5d:f3:b9,
26512,2025-12-10 09:46:58,40:4c:ca:5d:f3:b8,-61,null,
26513,2025-12-10 09:47:36,40:4c:ca:5e:09:2c,-89,40:4c:ca:5d:f3:b9,
26514,2025-12-10 09:47:36,40:4c:ca:5e:09:2c,-89,40:4c:ca:5d:f3:b9,
26515,2025-12-10 09:48:28,e0:5a:1b:75:02:68,-68,40:4c:ca:5d:f3:b9,
26516,2025-12-10 09:49:52,40:4c:ca:5d:e6:e8,-85,40:4c:ca:5d:f3:b9,
26517,2025-12-10 09:49:52,40:4c:ca:5d:e6:e8,-85,40:4c:ca:5d:f3:b9,
26518,2025-12-10 09:51:56,40:4c:ca:5d:f3:b8,-59,null,
26519,2025-12-10 09:52:36,40:4c:ca:5e:09:2c,-90,40:4c:ca:5d:f3:b9,
26520,2025-12-10 09:52:36,40:4c:ca:5e:09:2c,-90,40:4c:ca:5d:f3:b9,
26521,2025-12-10 09:53:28,e0:5a:1b:75:02:68,-65,40:4c:ca:5d:f3:b9,
26522,2025-12-10 09:53:29,e0:5a:1b:75:02:68,-65,40:4c:ca:5d:f3:b9,
26523,2025-12-10 09:54:51,40:4c:ca:5d:e6:e8,-84,40:4c:ca:5d:f3:b9,
26524,2025-12-10 09:54:51,40:4c:ca:5d:e6:e8,-84,40:4c:ca:5d:f3:b9,
26525,2025-12-10 09:56:56,40:4c:ca:5d:f3:b8,-60,null,
26526,2025-12-10 09:57:34,40:4c:ca:5e:09:2c,-90,40:4c:ca:5d:f3:b9,
26527,2025-12-10 09:58:27,e0:5a:1b:75:02:68,-65,40:4c:ca:5d:f3:b9,
26528,2025-12-10 10:01:56,40:4c:ca:5d:f3:b8,-60,null,
26529,2025-12-10 10:02:36,40:4c:ca:5e:09:2c,-96,40:4c:ca:5d:f3:b9,
26530,2025-12-10 10:02:36,40:4c:ca:5e:09:2c,-96,40:4c:ca:5d:f3:b9,
26531,2025-12-10 10:03:30,e0:5a:1b:75:02:68,-63,40:4c:ca:5d:f3:b9,
26532,2025-12-10 10:03:30,e0:5a:1b:75:02:68,-63,40:4c:ca:5d:f3:b9,
26533,2025-12-10 10:03:30,e0:5a:1b:75:02:68,-63,40:4c:ca:5d:f3:b9,
26534,2025-12-10 10:04:54,40:4c:ca:5d:e6:e8,-83,40:4c:ca:5d:f3:b9,
26535,2025-12-10 10:04:54,40:4c:ca:5d:e6:e8,-83,40:4c:ca:5d:f3:b9,
26536,2025-12-10 10:04:54,40:4c:ca:5d:e6:e8,-83,40:4c:ca:5d:f3:b9,
26537,2025-12-10 10:04:57,40:4c:ca:5d:e6:e8,-83,40:4c:ca:5d:f3:b9,
26538,2025-12-10 10:06:58,40:4c:ca:5d:f3:b8,-60,null,
26539,2025-12-10 10:07:36,40:4c:ca:5e:09:2c,-86,40:4c:ca:5d:f3:b9,
26540,2025-12-10 10:07:36,40:4c:ca:5e:09:2c,-86,40:4c:ca:5d:f3:b9,
26541,2025-12-10 10:08:28,e0:5a:1b:75:02:68,-65,40:4c:ca:5d:f3:b9,
26542,2025-12-10 10:09:51,40:4c:ca:5d:e6:e8,-83,40:4c:ca:5d:f3:b9,
26543,2025-12-10 10:16:57,40:4c:ca:5d:f3:b8,-59,null,
26544,2025-12-10 10:17:35,40:4c:ca:5e:09:2c,-86,40:4c:ca:5d:f3:b9,
