id,timestamp,sucesso,perda,layer,nos,trocas_pai,ult_troca
6167,2025-11-15 21:29:39,0.0,0.0,1,0,1,0
6168,2025-11-15 21:34:38,100.0,0.0,3,2,1,0
6169,2025-11-15 21:39:38,100.0,0.0,4,5,1,0
6170,2025-11-15 21:44:38,100.0,0.0,4,5,1,0
6171,2025-11-15 21:49:38,100.0,0.0,4,5,1,0
6172,2025-11-15 21:54:38,100.0,0.0,4,5,1,0
6173,2025-11-15 21:59:38,100.0,0.0,4,5,1,0
6174,2025-11-15 22:04:38,100.0,0.0,4,5,1,0
6175,2025-11-15 22:09:39,100.0,0.0,4,5,1,0
6176,2025-11-15 22:14:39,100.0,0.0,4,5,1,0
6177,2025-11-15 22:19:39,100.0,0.0,4,5,1,0
6178,2025-11-15 22:24:39,100.0,0.0,4,5,1,0
6179,2025-11-15 22:29:39,100.0,0.0,4,5,1,0
6180,2025-11-15 22:34:39,100.0,0.0,4,5,1,0
6181,2025-11-15 22:39:39,100.0,0.0,4,5,1,0
6182,2025-11-15 22:44:39,100.0,0.0,4,5,1,0
6183,2025-11-15 22:49:39,100.0,0.0,4,5,1,0
6184,2025-11-15 22:54:39,100.0,0.0,4,5,1,0
6185,2025-11-15 22:59:39,100.0,0.0,4,5,1,0
6186,2025-11-15 23:04:39,100.0,0.0,4,5,1,0
6187,2025-11-15 23:09:39,100.0,0.0,4,5,1,0
6188,2025-11-15 23:14:39,100.0,0.0,4,5,1,0
6189,2025-11-15 23:19:39,100.0,0.0,4,5,1,0
6190,2025-11-15 23:24:39,100.0,0.0,4,5,1,0
6191,2025-11-15 23:29:39,100.0,0.0,4,5,1,0
6192,2025-11-15 23:34:39,100.0,0.0,4,5,1,0
6193,2025-11-15 23:39:39,100.0,0.0,4,5,1,0
6194,2025-11-15 23:44:39,100.0,0.0,4,5,1,0
6195,2025-11-15 23:49:39,100.0,0.0,4,5,1,0
6196,2025-11-15 23:54:39,100.0,0.0,4,5,1,0
6197,2025-11-15 23:59:39,100.0,0.0,4,5,1,0
6198,2025-11-16 00:04:39,100.0,0.0,4,5,1,0
6199,2025-11-16 00:09:39,100.0,0.0,4,5,1,0
6200,2025-11-16 00:14:40,100.0,0.0,4,5,1,0
6201,2025-11-16 00:19:40,100.0,0.0,4,5,1,0
6202,2025-11-16 00:24:40,100.0,0.0,4,5,1,0
6203,2025-11-16 00:29:40,100.0,0.0,4,5,1,0
6204,2025-11-16 00:34:40,100.0,0.0,4,5,1,0
6205,2025-11-16 00:39:40,100.0,0.0,4,5,1,0
6206,2025-11-16 00:44:40,100.0,0.0,4,5,1,0
6207,2025-11-16 00:49:40,100.0,0.0,4,5,1,0
6208,2025-11-16 00:54:40,100.0,0.0,4,5,1,0
6209,2025-11-16 00:59:40,100.0,0.0,4,5,1,0
6210,2025-11-16 01:04:40,100.0,0.0,4,5,1,0
6211,2025-11-16 01:09:40,100.0,0.0,4,5,1,0
6212,2025-11-16 01:14:40,100.0,0.0,4,5,1,0
6213,2025-11-16 01:19:40,100.0,0.0,4,5,1,0
6214,2025-11-16 01:24:40,100.0,0.0,4,5,1,0
6215,2025-11-16 01:29:40,100.0,0.0,4,5,1,0
6216,2025-11-16 01:34:40,100.0,0.0,4,5,1,0
6217,2025-11-16 01:39:40,100.0,0.0,4,5,1,0
6218,2025-11-16 01:44:40,100.0,0.0,4,5,1,0
6219,2025-11-16 01:49:40,100.0,0.0,4,5,1,0
6220,2025-11-16 01:54:40,100.0,0.0,4,5,1,0
6221,2025-11-16 01:59:40,100.0,0.0,4,5,1,0
6222,2025-11-16 02:04:40,100.0,0.0,4,5,1,0
6223,2025-11-16 02:09:40,100.0,0.0,4,5,1,0
6224,2025-11-16 02:14:40,100.0,0.0,4,5,1,0
6225,2025-11-16 02:19:41,100.0,0.0,4,5,1,0
6226,2025-11-16 02:24:41,100.0,0.0,4,3,1,0
6227,2025-11-16 02:29:41,100.0,0.0,4,3,1,0
6228,2025-11-16 02:34:41,100.0,0.0,4,3,1,0
6229,2025-11-16 02:39:41,100.0,0.0,4,3,1,0
6230,2025-11-16 02:44:41,100.0,0.0,4,3,1,0
6231,2025-11-16 02:49:41,100.0,0.0,4,3,1,0
6232,2025-11-16 02:54:41,100.0,0.0,4,3,1,0
6233,2025-11-16 02:59:41,100.0,0.0,4,3,1,0
6234,2025-11-16 03:04:41,100.0,0.0,4,3,1,0
6235,2025-11-16 03:09:41,100.0,0.0,4,3,1,0
6236,2025-11-16 03:14:41,100.0,0.0,4,3,1,0
6237,2025-11-16 03:19:41,100.0,0.0,4,3,1,0
6238,2025-11-16 03:24:41,100.0,0.0,4,3,1,0
6239,2025-11-16 03:29:41,100.0,0.0,4,3,1,0
6240,2025-11-16 03:34:41,100.0,0.0,4,3,1,0
6241,2025-11-16 03:39:41,100.0,0.0,4,3,1,0
6242,2025-11-16 03:44:41,100.0,0.0,4,3,1,0
6243,2025-11-16 03:49:41,100.0,0.0,4,3,1,0
6244,2025-11-16 03:54:41,100.0,0.0,4,3,1,0
6245,2025-11-16 03:59:41,100.0,0.0,4,1,1,0
6246,2025-11-16 04:04:41,100.0,0.0,4,1,1,0
6247,2025-11-16 04:09:41,100.0,0.0,4,1,1,0
6248,2025-11-16 04:14:41,100.0,0.0,4,1,1,0
6249,2025-11-16 04:19:42,100.0,0.0,4,1,1,0
6250,2025-11-16 04:24:42,100.0,0.0,4,1,1,0
6251,2025-11-16 04:29:42,100.0,0.0,4,1,1,0
6252,2025-11-16 04:34:42,100.0,0.0,4,1,1,0
6253,2025-11-16 04:39:42,100.0,0.0,4,1,1,0
6254,2025-11-16 04:44:42,100.0,0.0,4,1,1,0
6255,2025-11-16 04:49:42,100.0,0.0,4,1,1,0
6256,2025-11-16 04:54:42,100.0,0.0,4,1,1,0
6257,2025-11-16 04:59:42,100.0,0.0,4,1,1,0
6258,2025-11-16 05:04:42,100.0,0.0,4,1,1,0
6259,2025-11-16 05:09:42,100.0,0.0,4,1,1,0
6260,2025-11-16 05:14:42,100.0,0.0,4,1,1,0
6261,2025-11-16 05:19:42,100.0,0.0,4,1,1,0
6262,2025-11-16 05:24:42,100.0,0.0,4,1,1,0
6263,2025-11-16 05:29:42,100.0,0.0,4,1,1,0
6264,2025-11-16 05:34:42,100.0,0.0,4,1,1,0
6265,2025-11-16 05:39:42,100.0,0.0,4,1,1,0
6266,2025-11-16 05:44:42,100.0,0.0,4,1,1,0
6267,2025-11-16 05:49:42,100.0,0.0,4,1,1,0
6268,2025-11-16 05:54:42,100.0,0.0,4,1,1,0
6269,2025-11-16 05:59:42,100.0,0.0,4,1,1,0
6270,2025-11-16 06:04:42,100.0,0.0,4,1,1,0
6271,2025-11-16 06:09:42,100.0,0.0,4,1,1,0
6272,2025-11-16 06:14:42,100.0,0.0,4,1,1,0
6273,2025-11-16 06:19:42,100.0,0.0,4,1,1,0
6274,2025-11-16 06:24:43,100.0,0.0,4,1,1,0
6275,2025-11-16 06:29:43,100.0,0.0,4,1,1,0
6276,2025-11-16 06:34:43,100.0,0.0,4,1,1,0
6277,2025-11-16 06:39:43,100.0,0.0,4,1,1,0
6278,2025-11-16 06:44:43,100.0,0.0,4,1,1,0
6279,2025-11-16 06:49:43,100.0,0.0,4,1,1,0
6280,2025-11-16 06:54:43,100.0,0.0,4,1,1,0
6281,2025-11-16 06:59:43,100.0,0.0,4,1,1,0
6282,2025-11-16 07:04:43,100.0,0.0,4,1,1,0
