id,timestamp,mac,rssi,mac_pai
17460,2025-11-16 02:50:43,40:4c:ca:5e:09:2c,-75,40:4c:ca:5e:0f:35
17461,2025-11-16 02:51:44,40:4c:ca:5d:f3:b8,-81,40:4c:ca:5d:f7:d5
17462,2025-11-16 02:53:32,40:4c:ca:5d:f7:d4,-82,40:4c:ca:5e:0f:35
17463,2025-11-16 02:54:41,40:4c:ca:5e:0f:34,-58,null
17464,2025-11-16 02:55:43,40:4c:ca:5e:09:2c,-75,40:4c:ca:5e:0f:35
17465,2025-11-16 02:56:44,40:4c:ca:5d:f3:b8,-84,40:4c:ca:5d:f7:d5
17466,2025-11-16 02:58:32,40:4c:ca:5d:f7:d4,-81,40:4c:ca:5e:0f:35
17467,2025-11-16 02:59:41,40:4c:ca:5e:0f:34,-58,null
17468,2025-11-16 03:00:43,40:4c:ca:5e:09:2c,-74,40:4c:ca:5e:0f:35
17469,2025-11-16 03:01:44,40:4c:ca:5d:f3:b8,-83,40:4c:ca:5d:f7:d5
17470,2025-11-16 03:03:32,40:4c:ca:5d:f7:d4,-81,40:4c:ca:5e:0f:35
17471,2025-11-16 03:04:41,40:4c:ca:5e:0f:34,-58,null
17472,2025-11-16 03:05:43,40:4c:ca:5e:09:2c,-75,40:4c:ca:5e:0f:35
17473,2025-11-16 03:06:44,40:4c:ca:5d:f3:b8,-84,40:4c:ca:5d:f7:d5
17474,2025-11-16 03:08:32,40:4c:ca:5d:f7:d4,-81,40:4c:ca:5e:0f:35
17475,2025-11-16 03:09:41,40:4c:ca:5e:0f:34,-58,null
17476,2025-11-16 03:10:43,40:4c:ca:5e:09:2c,-74,40:4c:ca:5e:0f:35
17477,2025-11-16 03:11:09,40:4c:ca:5d:f7:d4,-82,40:4c:ca:5e:0f:35
17478,2025-11-16 03:11:41,40:4c:ca:5d:f7:d4,-81,40:4c:ca:5e:0f:35
17479,2025-11-16 03:14:41,40:4c:ca:5e:0f:34,-52,null
17480,2025-11-16 03:15:43,40:4c:ca:5e:09:2c,-74,40:4c:ca:5e:0f:35
17481,2025-11-16 03:16:41,40:4c:ca:5d:f7:d4,-81,40:4c:ca:5e:0f:35
17482,2025-11-16 03:19:41,40:4c:ca:5e:0f:34,-59,null
17483,2025-11-16 03:20:43,40:4c:ca:5e:09:2c,-75,40:4c:ca:5e:0f:35
17484,2025-11-16 03:21:41,40:4c:ca:5d:f7:d4,-81,40:4c:ca:5e:0f:35
17485,2025-11-16 03:24:41,40:4c:ca:5e:0f:34,-59,null
17486,2025-11-16 03:25:43,40:4c:ca:5e:09:2c,-75,40:4c:ca:5e:0f:35
17487,2025-11-16 03:26:41,40:4c:ca:5d:f7:d4,-81,40:4c:ca:5e:0f:35
17488,2025-11-16 03:29:41,40:4c:ca:5e:0f:34,-52,null
17489,2025-11-16 03:30:43,40:4c:ca:5e:09:2c,-75,40:4c:ca:5e:0f:35
17490,2025-11-16 03:31:41,40:4c:ca:5d:f7:d4,-81,40:4c:ca:5e:0f:35
17491,2025-11-16 03:34:41,40:4c:ca:5e:0f:34,-58,null
17492,2025-11-16 03:35:43,40:4c:ca:5e:09:2c,-75,40:4c:ca:5e:0f:35
17493,2025-11-16 03:36:41,40:4c:ca:5d:f7:d4,-81,40:4c:ca:5e:0f:35
17494,2025-11-16 03:39:41,40:4c:ca:5e:0f:34,-59,null
17495,2025-11-16 03:40:43,40:4c:ca:5e:09:2c,-75,40:4c:ca:5e:0f:35
17496,2025-11-16 03:41:41,40:4c:ca:5d:f7:d4,-81,40:4c:ca:5e:0f:35
17497,2025-11-16 03:44:41,40:4c:ca:5e:0f:34,-57,null
17498,2025-11-16 03:45:43,40:4c:ca:5e:09:2c,-75,40:4c:ca:5e:0f:35
17499,2025-11-16 03:46:41,40:4c:ca:5d:f7:d4,-81,40:4c:ca:5e:0f:35
17500,2025-11-16 03:49:42,40:4c:ca:5e:0f:34,-58,null
17501,2025-11-16 03:50:43,40:4c:ca:5e:09:2c,-75,40:4c:ca:5e:0f:35
17502,2025-11-16 03:51:41,40:4c:ca:5d:f7:d4,-81,40:4c:ca:5e:0f:35
17503,2025-11-16 03:54:42,40:4c:ca:5e:0f:34,-57,null
17504,2025-11-16 03:55:43,40:4c:ca:5e:09:2c,-80,40:4c:ca:5e:0f:35
17505,2025-11-16 03:59:42,40:4c:ca:5e:0f:34,-56,null
17506,2025-11-16 04:04:42,40:4c:ca:5e:0f:34,-57,null
17507,2025-11-16 04:09:42,40:4c:ca:5e:0f:34,-62,null
17508,2025-11-16 04:14:42,40:4c:ca:5e:0f:34,-62,null
17509,2025-11-16 04:19:42,40:4c:ca:5e:0f:34,-63,null
17510,2025-11-16 04:24:42,40:4c:ca:5e:0f:34,-62,null
17511,2025-11-16 04:29:42,40:4c:ca:5e:0f:34,-62,null
17512,2025-11-16 04:34:42,40:4c:ca:5e:0f:34,-63,null
17513,2025-11-16 04:39:42,40:4c:ca:5e:0f:34,-62,null
17514,2025-11-16 04:44:42,40:4c:ca:5e:0f:34,-62,null
17515,2025-11-16 04:49:42,40:4c:ca:5e:0f:34,-62,null
17516,2025-11-16 04:54:42,40:4c:ca:5e:0f:34,-62,null
17517,2025-11-16 04:59:42,40:4c:ca:5e:0f:34,-62,null
17518,2025-11-16 05:04:42,40:4c:ca:5e:0f:34,-62,null
17519,2025-11-16 05:09:42,40:4c:ca:5e:0f:34,-63,null
17520,2025-11-16 05:14:42,40:4c:ca:5e:0f:34,-62,null
17521,2025-11-16 05:19:42,40:4c:ca:5e:0f:34,-62,null
17522,2025-11-16 05:24:42,40:4c:ca:5e:0f:34,-62,null
17523,2025-11-16 05:29:42,40:4c:ca:5e:0f:34,-63,null
17524,2025-11-16 05:34:42,40:4c:ca:5e:0f:34,-62,null
17525,2025-11-16 05:39:42,40:4c:ca:5e:0f:34,-62,null
17526,2025-11-16 05:44:42,40:4c:ca:5e:0f:34,-62,null
17527,2025-11-16 05:49:43,40:4c:ca:5e:0f:34,-63,null
17528,2025-11-16 05:54:43,40:4c:ca:5e:0f:34,-62,null
17529,2025-11-16 05:59:43,40:4c:ca:5e:0f:34,-62,null
17530,2025-11-16 06:04:43,40:4c:ca:5e:0f:34,-62,null
17531,2025-11-16 06:09:43,40:4c:ca:5e:0f:34,-63,null
17532,2025-11-16 06:14:43,40:4c:ca:5e:0f:34,-63,null
17533,2025-11-16 06:19:43,40:4c:ca:5e:0f:34,-62,null
17534,2025-11-16 06:24:43,40:4c:ca:5e:0f:34,-62,null
17535,2025-11-16 06:29:43,40:4c:ca:5e:0f:34,-63,null
17536,2025-11-16 06:34:43,40:4c:ca:5e:0f:34,-62,null
17537,2025-11-16 06:39:43,40:4c:ca:5e:0f:34,-62,null
17538,2025-11-16 06:44:43,40:4c:ca:5e:0f:34,-62,null
17539,2025-11-16 06:49:43,40:4c:ca:5e:0f:34,-62,null
17540,2025-11-16 06:54:43,40:4c:ca:5e:0f:34,-62,null
17541,2025-11-16 06:59:43,40:4c:ca:5e:0f:34,-62,null
17542,2025-11-16 07:04:43,40:4c:ca:5e:0f:34,-62,null
17543,2025-11-16 07:09:43,40:4c:ca:5e:0f:34,-61,null
17544,2025-11-16 07:14:43,40:4c:ca:5e:0f:34,-61,null
17545,2025-11-16 07:19:43,40:4c:ca:5e:0f:34,-62,null
17546,2025-11-16 07:24:43,40:4c:ca:5e:0f:34,-62,null
17547,2025-11-16 07:29:43,40:4c:ca:5e:0f:34,-63,null
17548,2025-11-16 07:34:43,40:4c:ca:5e:0f:34,-62,null
17549,2025-11-16 07:39:43,40:4c:ca:5e:0f:34,-62,null
17550,2025-11-16 07:44:43,40:4c:ca:5e:0f:34,-62,null
17551,2025-11-16 07:49:43,40:4c:ca:5e:0f:34,-62,null
17552,2025-11-16 07:54:43,40:4c:ca:5e:0f:34,-62,null
17553,2025-11-16 07:59:44,40:4c:ca:5e:0f:34,-62,null
17554,2025-11-16 08:04:44,40:4c:ca:5e:0f:34,-62,null
17555,2025-11-16 08:09:44,40:4c:ca:5e:0f:34,-63,null
17556,2025-11-16 08:14:44,40:4c:ca:5e:0f:34,-64,null
17557,2025-11-16 08:19:44,40:4c:ca:5e:0f:34,-62,null
17558,2025-11-16 08:24:44,40:4c:ca:5e:0f:34,-62,null
17559,2025-11-16 08:29:44,40:4c:ca:5e:0f:34,-63,null
17560,2025-11-16 08:34:44,40:4c:ca:5e:0f:34,-63,null
17561,2025-11-16 08:37:10,40:4c:ca:5e:0f:34,-57,null
17562,2025-11-16 08:42:10,40:4c:ca:5e:0f:34,-61,null
17563,2025-11-16 08:47:10,40:4c:ca:5e:0f:34,-60,null
17564,2025-11-16 08:52:10,40:4c:ca:5e:0f:34,-61,null
17565,2025-11-16 08:57:10,40:4c:ca:5e:0f:34,-59,null
17566,2025-11-16 09:02:10,40:4c:ca:5e:0f:34,-61,null
17567,2025-11-16 09:03:06,40:4c:ca:5d:f7:d4,-76,40:4c:ca:5e:0f:35
17568,2025-11-16 09:03:18,40:4c:ca:5e:09:2c,-74,40:4c:ca:5e:0f:35
17569,2025-11-16 09:04:11,40:4c:ca:5e:02:44,-84,40:4c:ca:5e:0f:35
17570,2025-11-16 09:07:11,40:4c:ca:5e:0f:34,-54,null
17571,2025-11-16 09:08:06,40:4c:ca:5d:f7:d4,-75,40:4c:ca:5e:0f:35
