id,timestamp,mac,rssi,mac_pai
11898,2025-10-18 14:48:15,40:4c:ca:5d:e6:e8,-52,null
11899,2025-10-18 14:48:45,40:4c:ca:5e:00:a0,-74,40:4c:ca:5d:e6:e9
11900,2025-10-18 14:53:16,40:4c:ca:5d:e6:e8,-55,null
11901,2025-10-18 14:53:45,40:4c:ca:5e:00:a0,-74,40:4c:ca:5d:e6:e9
11902,2025-10-18 14:58:16,40:4c:ca:5d:e6:e8,-56,null
11903,2025-10-18 14:58:45,40:4c:ca:5e:00:a0,-74,40:4c:ca:5d:e6:e9
11904,2025-10-18 15:03:16,40:4c:ca:5d:e6:e8,-56,null
11905,2025-10-18 15:03:45,40:4c:ca:5e:00:a0,-74,40:4c:ca:5d:e6:e9
11906,2025-10-18 15:08:16,40:4c:ca:5d:e6:e8,-55,null
11907,2025-10-18 15:08:45,40:4c:ca:5e:00:a0,-74,40:4c:ca:5d:e6:e9
11908,2025-10-18 15:13:16,40:4c:ca:5d:e6:e8,-54,null
11909,2025-10-18 15:13:45,40:4c:ca:5e:00:a0,-74,40:4c:ca:5d:e6:e9
11910,2025-10-18 15:18:16,40:4c:ca:5d:e6:e8,-55,null
11911,2025-10-18 15:18:45,40:4c:ca:5e:00:a0,-74,40:4c:ca:5d:e6:e9
11912,2025-10-18 15:23:16,40:4c:ca:5d:e6:e8,-56,null
11913,2025-10-18 15:23:45,40:4c:ca:5e:00:a0,-74,40:4c:ca:5d:e6:e9
11914,2025-10-18 15:28:16,40:4c:ca:5d:e6:e8,-55,null
11915,2025-10-18 15:28:45,40:4c:ca:5e:00:a0,-74,40:4c:ca:5d:e6:e9
11916,2025-10-18 15:33:16,40:4c:ca:5d:e6:e8,-55,null
11917,2025-10-18 15:33:45,40:4c:ca:5e:00:a0,-68,40:4c:ca:5d:e6:e9
11918,2025-10-18 15:36:35,null,,null
11919,2025-10-18 15:38:16,40:4c:ca:5d:e6:e8,-57,null
11920,2025-10-18 15:38:45,40:4c:ca:5e:00:a0,-74,40:4c:ca:5d:e6:e9
11921,2025-10-18 15:43:16,40:4c:ca:5d:e6:e8,-56,null
11922,2025-10-18 15:43:45,40:4c:ca:5e:00:a0,-74,40:4c:ca:5d:e6:e9
11923,2025-10-18 15:48:16,40:4c:ca:5d:e6:e8,-56,null
11924,2025-10-18 15:48:45,40:4c:ca:5e:00:a0,-75,40:4c:ca:5d:e6:e9
11925,2025-10-18 15:53:16,40:4c:ca:5d:e6:e8,-56,null
11926,2025-10-18 15:53:45,40:4c:ca:5e:00:a0,-74,40:4c:ca:5d:e6:e9
11927,2025-10-18 15:58:16,40:4c:ca:5d:e6:e8,-56,null
11928,2025-10-18 15:58:45,40:4c:ca:5e:00:a0,-75,40:4c:ca:5d:e6:e9
11929,2025-10-18 16:03:16,40:4c:ca:5d:e6:e8,-49,null
11930,2025-10-18 16:03:45,40:4c:ca:5e:00:a0,-75,40:4c:ca:5d:e6:e9
11931,2025-10-18 16:08:16,40:4c:ca:5d:e6:e8,-54,null
11932,2025-10-18 16:08:45,40:4c:ca:5e:00:a0,-74,40:4c:ca:5d:e6:e9
11933,2025-10-18 16:13:16,40:4c:ca:5d:e6:e8,-54,null
11934,2025-10-18 16:13:45,40:4c:ca:5e:00:a0,-74,40:4c:ca:5d:e6:e9
11935,2025-10-18 16:18:16,40:4c:ca:5d:e6:e8,-55,null
11936,2025-10-18 16:18:45,40:4c:ca:5e:00:a0,-74,40:4c:ca:5d:e6:e9
11937,2025-10-18 16:23:16,40:4c:ca:5d:e6:e8,-55,null
11938,2025-10-18 16:23:45,40:4c:ca:5e:00:a0,-74,40:4c:ca:5d:e6:e9
11939,2025-10-18 16:28:16,40:4c:ca:5d:e6:e8,-55,null
11940,2025-10-18 16:28:45,40:4c:ca:5e:00:a0,-74,40:4c:ca:5d:e6:e9
11941,2025-10-18 16:33:16,40:4c:ca:5d:e6:e8,-55,null
11942,2025-10-18 16:33:45,40:4c:ca:5e:00:a0,-75,40:4c:ca:5d:e6:e9
11943,2025-10-18 16:38:16,40:4c:ca:5d:e6:e8,-55,null
11944,2025-10-18 16:38:45,40:4c:ca:5e:00:a0,-74,40:4c:ca:5d:e6:e9
11945,2025-10-18 16:43:16,40:4c:ca:5d:e6:e8,-55,null
11946,2025-10-18 16:43:45,40:4c:ca:5e:00:a0,-74,40:4c:ca:5d:e6:e9
11947,2025-10-18 16:48:16,40:4c:ca:5d:e6:e8,-55,null
11948,2025-10-18 16:48:45,40:4c:ca:5e:00:a0,-74,40:4c:ca:5d:e6:e9
11949,2025-10-18 16:53:16,40:4c:ca:5d:e6:e8,-55,null
11950,2025-10-18 16:53:45,40:4c:ca:5e:00:a0,-74,40:4c:ca:5d:e6:e9
11951,2025-10-18 16:58:16,40:4c:ca:5d:e6:e8,-56,null
11952,2025-10-18 16:58:45,40:4c:ca:5e:00:a0,-74,40:4c:ca:5d:e6:e9
11953,2025-10-18 17:03:16,40:4c:ca:5d:e6:e8,-55,null
11954,2025-10-18 17:03:45,40:4c:ca:5e:00:a0,-74,40:4c:ca:5d:e6:e9
11955,2025-10-18 17:08:16,40:4c:ca:5d:e6:e8,-55,null
11956,2025-10-18 17:08:45,40:4c:ca:5e:00:a0,-75,40:4c:ca:5d:e6:e9
11957,2025-10-18 17:13:16,40:4c:ca:5d:e6:e8,-55,null
11958,2025-10-18 17:13:45,40:4c:ca:5e:00:a0,-74,40:4c:ca:5d:e6:e9
11959,2025-10-18 17:18:16,40:4c:ca:5d:e6:e8,-49,null
11960,2025-10-18 17:18:45,40:4c:ca:5e:00:a0,-75,40:4c:ca:5d:e6:e9
11961,2025-10-18 17:23:16,40:4c:ca:5d:e6:e8,-56,null
11962,2025-10-18 17:23:45,40:4c:ca:5e:00:a0,-75,40:4c:ca:5d:e6:e9
11963,2025-10-18 17:28:16,40:4c:ca:5d:e6:e8,-56,null
11964,2025-10-18 17:28:45,40:4c:ca:5e:00:a0,-75,40:4c:ca:5d:e6:e9
11965,2025-10-18 17:33:16,40:4c:ca:5d:e6:e8,-55,null
11966,2025-10-18 17:33:45,40:4c:ca:5e:00:a0,-74,40:4c:ca:5d:e6:e9
11967,2025-10-18 17:38:16,40:4c:ca:5d:e6:e8,-55,null
11968,2025-10-18 17:38:45,40:4c:ca:5e:00:a0,-74,40:4c:ca:5d:e6:e9
11969,2025-10-18 17:43:16,40:4c:ca:5d:e6:e8,-56,null
11970,2025-10-18 17:43:45,40:4c:ca:5e:00:a0,-75,40:4c:ca:5d:e6:e9
11971,2025-10-18 17:48:16,40:4c:ca:5d:e6:e8,-56,null
11972,2025-10-18 17:48:45,40:4c:ca:5e:00:a0,-74,40:4c:ca:5d:e6:e9
11973,2025-10-18 17:53:16,40:4c:ca:5d:e6:e8,-55,null
11974,2025-10-18 17:58:16,40:4c:ca:5d:e6:e8,-56,null
11975,2025-10-18 17:59:53,40:4c:ca:5e:00:a0,-74,40:4c:ca:5d:e6:e9
11976,2025-10-18 18:03:16,40:4c:ca:5d:e6:e8,-55,null
11977,2025-10-18 18:04:53,40:4c:ca:5e:00:a0,-75,40:4c:ca:5d:e6:e9
11978,2025-10-18 18:08:16,40:4c:ca:5d:e6:e8,-55,null
11979,2025-10-18 18:09:53,40:4c:ca:5e:00:a0,-75,40:4c:ca:5d:e6:e9
11980,2025-10-18 18:13:16,40:4c:ca:5d:e6:e8,-55,null
11981,2025-10-18 18:14:53,40:4c:ca:5e:00:a0,-75,40:4c:ca:5d:e6:e9
11982,2025-10-18 18:18:16,40:4c:ca:5d:e6:e8,-55,null
11983,2025-10-18 18:19:53,40:4c:ca:5e:00:a0,-75,40:4c:ca:5d:e6:e9
11984,2025-10-18 18:23:16,40:4c:ca:5d:e6:e8,-55,null
11985,2025-10-18 18:24:53,40:4c:ca:5e:00:a0,-75,40:4c:ca:5d:e6:e9
11986,2025-10-18 18:28:16,40:4c:ca:5d:e6:e8,-55,null
11987,2025-10-18 18:29:53,40:4c:ca:5e:00:a0,-75,40:4c:ca:5d:e6:e9
11988,2025-10-18 18:33:16,40:4c:ca:5d:e6:e8,-57,null
11989,2025-10-18 18:34:53,40:4c:ca:5e:00:a0,-75,40:4c:ca:5d:e6:e9
11990,2025-10-18 18:38:16,40:4c:ca:5d:e6:e8,-59,null
11991,2025-10-18 18:39:53,40:4c:ca:5e:00:a0,-74,40:4c:ca:5d:e6:e9
11992,2025-10-18 18:43:16,40:4c:ca:5d:e6:e8,-58,null
11993,2025-10-18 18:44:53,40:4c:ca:5e:00:a0,-74,40:4c:ca:5d:e6:e9
11994,2025-10-18 18:48:16,40:4c:ca:5d:e6:e8,-58,null
11995,2025-10-18 18:49:53,40:4c:ca:5e:00:a0,-74,40:4c:ca:5d:e6:e9
11996,2025-10-18 18:53:16,40:4c:ca:5d:e6:e8,-58,null
11997,2025-10-18 18:54:53,40:4c:ca:5e:00:a0,-75,40:4c:ca:5d:e6:e9
11998,2025-10-18 18:58:16,40:4c:ca:5d:e6:e8,-56,null
11999,2025-10-18 18:59:53,40:4c:ca:5e:00:a0,-74,40:4c:ca:5d:e6:e9
12000,2025-10-18 19:03:16,40:4c:ca:5d:e6:e8,-58,null
12001,2025-10-18 19:04:53,40:4c:ca:5e:00:a0,-75,40:4c:ca:5d:e6:e9
12002,2025-10-18 19:08:16,40:4c:ca:5d:e6:e8,-57,null
12003,2025-10-18 19:09:53,40:4c:ca:5e:00:a0,-74,40:4c:ca:5d:e6:e9
12004,2025-10-18 19:13:16,40:4c:ca:5d:e6:e8,-57,null
12005,2025-10-18 19:14:53,40:4c:ca:5e:00:a0,-75,40:4c:ca:5d:e6:e9
12006,2025-10-18 19:18:16,40:4c:ca:5d:e6:e8,-57,null
12007,2025-10-18 19:19:53,40:4c:ca:5e:00:a0,-74,40:4c:ca:5d:e6:e9
12008,2025-10-18 19:23:16,40:4c:ca:5d:e6:e8,-58,null
12009,2025-10-18 19:24:53,40:4c:ca:5e:00:a0,-75,40:4c:ca:5d:e6:e9
12010,2025-10-18 19:28:17,40:4c:ca:5d:e6:e8,-57,null
