id,timestamp,sucesso,perda,layer,nos,rtt,trocas_pai,ult_troca,retransmissoes
4119,2025-10-18 14:58:15,100.0,0.0,2,2,0,1,0,0
4120,2025-10-18 15:03:15,100.0,0.0,2,2,0,1,0,0
4121,2025-10-18 15:08:15,100.0,0.0,2,2,0,1,0,0
4122,2025-10-18 15:13:15,100.0,0.0,2,2,0,1,0,0
4123,2025-10-18 15:18:15,100.0,0.0,2,2,0,1,0,0
4124,2025-10-18 15:23:15,100.0,0.0,2,2,0,1,0,0
4125,2025-10-18 15:28:15,100.0,0.0,2,2,0,1,0,0
4126,2025-10-18 15:33:15,100.0,0.0,2,2,0,1,0,0
4127,2025-10-18 15:38:15,100.0,0.0,2,2,0,1,0,0
4128,2025-10-18 15:43:15,100.0,0.0,2,2,0,1,0,0
4129,2025-10-18 15:48:15,100.0,0.0,2,2,0,1,0,0
4130,2025-10-18 15:53:15,100.0,0.0,2,2,0,1,0,0
4131,2025-10-18 15:58:16,100.0,0.0,2,2,0,1,0,0
4132,2025-10-18 16:03:16,100.0,0.0,2,2,0,1,0,0
4133,2025-10-18 16:08:16,100.0,0.0,2,2,0,1,0,0
4134,2025-10-18 16:13:16,100.0,0.0,2,2,0,1,0,0
4135,2025-10-18 16:18:16,100.0,0.0,2,2,0,1,0,0
4136,2025-10-18 16:23:16,100.0,0.0,2,2,0,1,0,0
4137,2025-10-18 16:28:16,100.0,0.0,2,2,0,1,0,0
4138,2025-10-18 16:33:16,100.0,0.0,2,2,0,1,0,0
4139,2025-10-18 16:38:16,100.0,0.0,2,2,0,1,0,0
4140,2025-10-18 16:43:16,100.0,0.0,2,2,0,1,0,0
4141,2025-10-18 16:48:16,100.0,0.0,2,2,0,1,0,0
4142,2025-10-18 16:53:16,100.0,0.0,2,2,0,1,0,0
4143,2025-10-18 16:58:16,100.0,0.0,2,2,0,1,0,0
4144,2025-10-18 17:03:16,100.0,0.0,2,2,0,1,0,0
4145,2025-10-18 17:08:16,100.0,0.0,2,2,0,1,0,0
4146,2025-10-18 17:13:16,100.0,0.0,2,2,0,1,0,0
4147,2025-10-18 17:18:16,100.0,0.0,2,2,0,1,0,0
4148,2025-10-18 17:23:16,100.0,0.0,2,2,0,1,0,0
4149,2025-10-18 17:28:16,100.0,0.0,2,2,0,1,0,0
4150,2025-10-18 17:33:16,100.0,0.0,2,2,0,1,0,0
4151,2025-10-18 17:38:16,100.0,0.0,2,2,0,1,0,0
4152,2025-10-18 17:43:16,100.0,0.0,2,2,0,1,0,0
4153,2025-10-18 17:48:16,100.0,0.0,2,2,0,1,0,0
4154,2025-10-18 17:53:16,100.0,0.0,2,2,0,1,0,0
4155,2025-10-18 17:58:16,100.0,0.0,2,2,0,1,0,0
4156,2025-10-18 18:03:16,100.0,0.0,2,2,0,1,0,0
4157,2025-10-18 18:08:16,100.0,0.0,2,2,0,1,0,0
4158,2025-10-18 18:13:16,100.0,0.0,2,2,0,1,0,0
4159,2025-10-18 18:18:16,100.0,0.0,2,2,0,1,0,0
4160,2025-10-18 18:23:16,100.0,0.0,2,2,0,1,0,0
4161,2025-10-18 18:28:16,100.0,0.0,2,2,0,1,0,0
4162,2025-10-18 18:33:16,100.0,0.0,2,2,0,1,0,0
4163,2025-10-18 18:38:16,100.0,0.0,2,2,0,1,0,0
4164,2025-10-18 18:43:16,100.0,0.0,2,2,0,1,0,0
4165,2025-10-18 18:48:16,100.0,0.0,2,2,0,1,0,0
4166,2025-10-18 18:53:16,100.0,0.0,2,2,0,1,0,0
4167,2025-10-18 18:58:16,100.0,0.0,2,2,0,1,0,0
4168,2025-10-18 19:03:16,100.0,0.0,2,2,0,1,0,0
4169,2025-10-18 19:08:16,100.0,0.0,2,2,0,1,0,0
4170,2025-10-18 19:13:16,100.0,0.0,2,2,0,1,0,0
4171,2025-10-18 19:18:16,100.0,0.0,2,2,0,1,0,0
4172,2025-10-18 19:23:16,100.0,0.0,2,2,0,1,0,0
4173,2025-10-18 19:28:16,100.0,0.0,2,2,0,1,0,0
4174,2025-10-18 19:33:16,100.0,0.0,2,2,0,1,0,0
4175,2025-10-18 19:38:16,100.0,0.0,2,2,0,1,0,0
4176,2025-10-18 19:43:16,100.0,0.0,2,2,0,1,0,0
4177,2025-10-18 19:48:16,100.0,0.0,2,2,0,1,0,0
4178,2025-10-18 19:53:16,100.0,0.0,2,2,0,1,0,0
4179,2025-10-18 19:58:16,100.0,0.0,2,2,0,1,0,0
4180,2025-10-18 20:03:16,100.0,0.0,2,2,0,1,0,0
4181,2025-10-18 20:08:16,100.0,0.0,2,2,0,1,0,0
4182,2025-10-18 20:13:16,100.0,0.0,2,2,0,1,0,0
4183,2025-10-18 20:18:16,100.0,0.0,2,2,0,1,0,0
4184,2025-10-18 20:23:16,100.0,0.0,2,2,0,1,0,0
4185,2025-10-18 20:28:16,100.0,0.0,2,2,0,1,0,0
4186,2025-10-18 20:33:17,100.0,0.0,2,2,0,1,0,0
4187,2025-10-18 20:38:17,100.0,0.0,2,2,0,1,0,0
4188,2025-10-18 20:43:16,100.0,0.0,2,2,0,1,0,0
4189,2025-10-18 20:48:16,100.0,0.0,2,2,0,1,0,0
4190,2025-10-18 20:53:17,100.0,0.0,2,2,0,1,0,0
4191,2025-10-18 20:58:17,100.0,0.0,2,2,0,1,0,0
4192,2025-10-18 21:03:17,100.0,0.0,2,2,0,1,0,0
4193,2025-10-18 21:08:17,100.0,0.0,2,2,0,1,0,0
4194,2025-10-18 21:13:17,100.0,0.0,2,2,0,1,0,0
4195,2025-10-18 21:18:17,100.0,0.0,2,2,0,1,0,0
4196,2025-10-18 21:23:17,100.0,0.0,2,2,0,1,0,0
4197,2025-10-18 21:28:17,100.0,0.0,2,2,0,1,0,0
4198,2025-10-18 21:33:17,100.0,0.0,2,2,0,1,0,0
4199,2025-10-18 21:38:17,100.0,0.0,2,2,0,1,0,0
4200,2025-10-18 21:43:17,100.0,0.0,2,2,0,1,0,0
4201,2025-10-18 21:48:17,100.0,0.0,2,2,0,1,0,0
4202,2025-10-18 21:53:17,100.0,0.0,2,2,0,1,0,0
4203,2025-10-18 21:58:17,100.0,0.0,2,2,0,1,0,0
4204,2025-10-18 22:03:17,100.0,0.0,2,2,0,1,0,0
4205,2025-10-18 22:08:17,100.0,0.0,2,2,0,1,0,0
4206,2025-10-18 22:13:17,100.0,0.0,2,2,0,1,0,0
4207,2025-10-18 22:18:17,100.0,0.0,2,2,0,1,0,0
4208,2025-10-18 22:23:17,100.0,0.0,2,2,0,1,0,0
4209,2025-10-18 22:28:17,100.0,0.0,2,2,0,1,0,0
4210,2025-10-18 22:33:17,100.0,0.0,2,2,0,1,0,0
4211,2025-10-18 22:38:17,100.0,0.0,2,2,0,1,0,0
4212,2025-10-18 22:43:17,100.0,0.0,2,2,0,1,0,0
4213,2025-10-18 22:48:17,100.0,0.0,2,2,0,1,0,0
4214,2025-10-18 22:53:17,100.0,0.0,2,2,0,1,0,0
4215,2025-10-18 22:58:17,100.0,0.0,2,2,0,1,0,0
4216,2025-10-18 23:03:17,100.0,0.0,2,2,0,1,0,0
4217,2025-10-18 23:08:17,100.0,0.0,2,2,0,1,0,0
4218,2025-10-18 23:13:17,100.0,0.0,2,2,0,1,0,0
4219,2025-10-18 23:18:17,100.0,0.0,2,2,0,1,0,0
4220,2025-10-18 23:23:17,100.0,0.0,2,2,0,1,0,0
4221,2025-10-18 23:28:17,100.0,0.0,2,2,0,1,0,0
4222,2025-10-18 23:33:17,100.0,0.0,2,2,0,1,0,0
4223,2025-10-18 23:38:17,100.0,0.0,2,2,0,1,0,0
4224,2025-10-18 23:43:17,100.0,0.0,2,2,0,1,0,0
4225,2025-10-18 23:48:17,100.0,0.0,2,2,0,1,0,0
4226,2025-10-18 23:53:17,100.0,0.0,2,2,0,1,0,0
4227,2025-10-18 23:58:17,100.0,0.0,2,2,0,1,0,0
4228,2025-10-19 00:03:17,100.0,0.0,2,2,0,1,0,0
4229,2025-10-19 00:08:17,100.0,0.0,2,2,0,1,0,0
