id,timestamp,sucesso,perda,layer,nos,trocas_pai,ult_troca
9072,2025-12-13 13:30:16,100.0,0.0,2,3,2,0
9073,2025-12-13 13:31:16,100.0,0.0,2,3,2,0
9074,2025-12-13 13:32:16,100.0,0.0,2,3,2,0
9075,2025-12-13 13:33:16,100.0,0.0,2,3,2,0
9076,2025-12-13 13:34:16,100.0,0.0,2,3,2,0
9077,2025-12-13 13:35:37,0.0,0.0,1,0,2,0
9078,2025-12-13 13:36:37,0.0,0.0,1,0,2,0
9079,2025-12-13 13:37:37,100.0,0.0,2,2,2,0
9080,2025-12-13 13:38:54,0.0,0.0,1,0,2,0
9081,2025-12-13 13:39:43,100.0,0.0,1,2,2,0
9082,2025-12-13 13:40:43,100.0,0.0,2,2,2,0
9083,2025-12-13 13:41:43,100.0,0.0,2,2,2,0
9084,2025-12-13 13:42:43,100.0,0.0,2,2,2,0
9085,2025-12-13 13:43:43,100.0,0.0,2,2,2,0
9086,2025-12-13 13:46:49,0.0,0.0,1,0,1,0
9087,2025-12-13 13:46:49,0.0,0.0,1,0,1,0
9088,2025-12-13 13:47:48,100.0,0.0,1,2,1,0
9089,2025-12-13 13:48:48,100.0,0.0,2,2,1,0
9090,2025-12-13 13:50:16,100.0,0.0,1,2,2,0
9091,2025-12-13 13:51:16,100.0,0.0,2,2,2,0
9092,2025-12-13 13:52:51,0.0,0.0,2,0,2,0
9093,2025-12-13 13:53:43,0.0,0.0,2,0,2,0
9094,2025-12-13 13:54:43,0.0,0.0,2,0,2,0
9095,2025-12-13 13:55:43,100.0,0.0,2,2,2,0
9096,2025-12-13 13:56:43,100.0,0.0,2,2,2,0
9097,2025-12-13 13:57:43,100.0,0.0,2,2,2,0
9098,2025-12-13 13:58:43,100.0,0.0,2,2,2,0
9099,2025-12-13 13:59:43,100.0,0.0,2,2,2,0
9100,2025-12-13 14:00:43,100.0,0.0,2,2,2,0
9101,2025-12-13 14:01:43,100.0,0.0,2,2,2,0
9102,2025-12-13 14:02:44,100.0,0.0,2,2,2,0
9103,2025-12-13 14:04:02,0.0,0.0,1,0,1,0
9104,2025-12-13 14:05:02,100.0,0.0,2,3,1,0
9105,2025-12-13 14:06:20,0.0,0.0,2,2,2,0
9106,2025-12-13 14:07:20,100.0,0.0,2,3,2,0
9107,2025-12-13 14:08:20,100.0,0.0,2,3,2,0
9108,2025-12-13 14:09:56,0.0,0.0,1,2,1,0
9109,2025-12-13 14:10:55,100.0,0.0,2,2,1,0
9110,2025-12-13 14:13:20,100.0,0.0,1,2,2,0
9111,2025-12-13 14:14:38,0.0,0.0,1,0,1,0
9112,2025-12-13 14:15:37,100.0,0.0,2,2,1,0
9113,2025-12-13 14:16:37,100.0,0.0,2,2,1,0
9114,2025-12-13 14:17:37,100.0,0.0,2,2,1,0
9115,2025-12-13 14:18:45,0.0,0.0,1,0,2,0
9116,2025-12-13 14:19:45,100.0,0.0,1,3,2,0
9117,2025-12-13 14:20:45,100.0,0.0,2,3,2,0
9118,2025-12-13 14:21:45,100.0,0.0,3,3,2,0
9119,2025-12-13 14:22:55,100.0,0.0,1,2,1,0
9120,2025-12-13 14:23:54,100.0,0.0,3,2,1,0
9121,2025-12-13 14:25:51,100.0,0.0,2,3,2,0
9122,2025-12-13 14:26:52,100.0,0.0,2,3,2,0
9123,2025-12-13 14:27:50,0.0,0.0,1,2,2,0
9124,2025-12-13 14:27:51,0.0,0.0,1,2,2,0
9125,2025-12-13 14:28:50,100.0,0.0,2,2,2,0
9126,2025-12-13 14:29:50,100.0,0.0,2,3,2,0
9127,2025-12-13 14:30:50,100.0,0.0,2,3,2,0
9128,2025-12-13 14:31:52,0.0,0.0,1,2,4,0
